Ex_keV,orbital,n,L,j_times_2,nodes,Q_MeV,E_bind_MeV,E_proton_MeV
4368,0f5/2,0,3,5,0,-2.289,0.064,5.070
4411,0f5/2,0,3,5,0,-2.332,0.107,5.027
4492,1p3/2,1,1,3,1,-2.413,0.188,4.946
4458,1p3/2,1,1,3,1,-2.379,0.154,4.980
4675,0f5/2,0,3,5,0,-2.596,0.371,4.763
4812,1p3/2,1,1,3,1,-2.733,0.508,4.626
4858,0f5/2,0,3,5,0,-2.779,0.554,4.580
4882,0f5/2,0,3,5,0,-2.803,0.578,4.556
4893,1p3/2,1,1,3,1,-2.814,0.589,4.545
5054,0g9/2,0,4,9,0,-2.975,0.750,4.384
5090,0g9/2,0,4,9,0,-3.011,0.786,4.348
5122,0g9/2,0,4,9,0,-3.043,0.818,4.316
5505,0f5/2,0,3,5,0,-3.426,1.201,3.933
5666,0f5/2,0,3,5,0,-3.587,1.362,3.772
5720,0f5/2,0,3,5,0,-3.641,1.416,3.718
6150,0f5/2,0,3,5,0,-4.071,1.846,3.288
6408,0f5/2,0,3,5,0,-4.329,2.104,3.030
6550,0f5/2,0,3,5,0,-4.471,2.246,2.888
6732,0f5/2,0,3,5,0,-4.653,2.428,2.706
6775,0f5/2,0,3,5,0,-4.696,2.471,2.663
